0 0 0
1,5572189320212723e-19 0,0025431315104166665 1,5707963267948966
1,2457751456170178e-18 0,020345052083333332 1,5707963267948966
4,2044911164574354e-18 0,06866455078125 1,5707963267948966
9,966201164936142e-18 0,16276041666666666 1,5707963267948966
1,9465236650265906e-17 0,3178914388020833 1,5707963267948966
3,3635928931659483e-17 0,54931640625 1,5707963267948966
5,3412609368329645e-17 0,8722941080729166 1,5707963267948966
7,972960931948914e-17 1,3020833333333333 1,5707963267948966
1,1352126014435076e-16 1,85394287109375 1,5707963267948966
1,5572189320212725e-16 2,5431315104166665 1,5707963267948966
2,0726583985203136e-16 3,3849080403645835 1,5707963267948966
2,6908743145327587e-16 4,39453125 1,5707963267948966
3,4212099936507356e-16 5,587259928385417 1,5707963267948966
4,2730087494663716e-16 6,978352864583333 1,5707963267948966
5,255613895571794e-16 8,58306884765625 1,5707963267948966
6,378368745559131e-16 10,416666666666666 1,5707963267948966
7,650616613020512e-16 12,494405110677084 1,5707963267948966
9,08170081154806e-16 14,83154296875 1,5707963267948966
1,0680964654733907e-15 17,443339029947918 1,5707963267948966
1,245775145617018e-15 20,345052083333332 1,5707963267948966
1,4421404529449005e-15 23,55194091796875 1,5707963267948966
1,6581267188162509e-15 27,079264322916668 1,5707963267948966
1,894668274590282e-15 30,942281087239582 1,5707963267948966
2,152699451626207e-15 35,15625 1,5707963267948966
2,4331545812832377e-15 39,736429850260414 1,5707963267948966
2,7369679949205885e-15 44,698079427083336 1,5707963267948966
3,0650740238974702e-15 50,05645751953125 1,5707963267948966
3,4184069995730973e-15 55,826822916666664 1,5707963267948966
3,797901253306681e-15 62,024434407552086 1,5707963267948966
4,204491116457435e-15 68,66455078125 1,5707963267948966
4,6391109203845724e-15 75,76243082682292 1,5707963267948966
5,102694996447305e-15 83,33333333333333 1,5707963267948966
0,010355461335854731 91,38894535285421 1,567052366908539
0,0828436906867992 99,92666698950039 1,556638732127431
0,2795974560679333 108,94032661039718 1,5405773760273478
0,6627495254943518 118,42375258266986 1,5196830782899824
1,2944326669811494 128,37077327344377 1,4946270002274036
2,2367796485434215 138,77521704984417 1,465982012081175
3,5519232381962618 149,63091227899636 1,434254678326277
5,301996203954767 160,93168732802567 1,399907303982622
7,549131313834029 172,67137056405738 1,3633724100938795
10,355461335849144 184,8437903542168 1,32506134751809
13,783119038015212 197,44277506562923 1,2853683735738346
17,894237188347315 210,46215306541995 1,2446713105365972
22,75094855486056 223,8957527207143 1,2033297970664167
28,415385905570037 237,73740239863756 1,1616820686095481
34,949682008490846 251,98093046631502 1,1200411152977299
42,41596963163807 266,62016529087197 1,078690941989353
50,87638154302682 281,6489352394338 1,0378834918228141
60,39305051067216 297,06106867912564 0,9978366054259993
71,02810930258923 312,85039397707294 0,9587331953271242
82,84369068679308 329,010739500401 0,9207216426941177
95,90192743129884 345,535933616235 0,8839172892239003
110,2649523041216 362,4198046917004 0,8484048096397454
125,99489807327643 379,6561810939223 0,8142412094056161
143,15389750677846 397,23889119002627 0,7814591905003473
161,80408337264276 415,16176334713737 0,7500706542722606
182,0075884388844 433,41862593238096 0,7200701527715703
203,82654547351854 452,00330731288244 0,6914381483766402
227,3230872445602 470,90963585576696 0,6641439885152853
252,55934652002455 490,13143992816003 0,6381485432168648
279,59745606792666 509,6625478971867 0,613406485952033
308,49954865628155 529,4967881299724 0,5898682223581956
339,32775705310445 549,6279889936425 0,5674814877661479
372,12313723315026 570,0495156405199 0,546993335934519
406,84243799813385 590,7528803637185 0,5289055164504909
443,42133135650994 611,7291322415499 0,5128581535053991
481,7954893167331 632,9693203523258 0,4985588438690675
521,9005838872582 654,4644937743576 0,4857681368711625
563,6722870765401 676,2057015859572 0,47428847832966087
607,0462708930331 698,1839928654358 0,46395573313888216
651,9582073451922 720,3904166911053 0,4546326365412472
698,3437684414721 742,8160221412772 0,44620369676748406
746,1386261903275 765,4518582942632 0,4385711973974101
795,278452600213 788,2889742283746 0,4316520390790151
845,6989196795835 811,3184190219233 0,42537522666587013
897,3356994368936 834,5312417532209 0,4196798563526464
950,1244638805979 857,9184915005787 0,4145134930176082
1004,0008850191513 881,4712173423088 0,4098308543034032
1058,9006348610085 905,1804683567223 0,4055927375420004
1114,7593854146241 929,037293622131 0,40176514028547794
1171,512808688453 953,0327422168464 0,3983185362537522
1229,0965766909499 977,1578632191803 0,39522727689902265
1287,4463614305696 1001,403705707444 0,3924690952000137
1346,4978349157661 1025,7613187599495 0,3900246932366577
1406,186669154995 1050,221751455008 0,387877398924264
1466,4485361567108 1074,7760528709314 0,3860128802761516
1527,2191079293677 1099,415272086031 0,3844189079165303
1588,434056481421 1124,130458178619 0,3830851584318334
1650,0290538213255 1148,9126602270062 0,382003052642533
1711,9397719575352 1173,7529273095047 0,3811656240852758
1774,1018828985054 1198,6423085044257 0,3805674139834438
1836,4510586526908 1223,5718528900813 0,38020438980466587
1898,922971228546 1248,5326095447829 0,3800738851970248
1961,4532926345255 1273,5156275468419 0,3801745596944036
2023,9776948790845 1298,5119559745701 0,3805063771123649
2086,4304044509317 1323,5100326575189 0,38098640671061984
2148,739865759796 1348,4878504301996 0,38153246489681997
2210,8330776956595 1373,4207908783626 0,3821469691701952
2272,637039148505 1398,284235587759 0,38283284380441557
2334,0787490083167 1423,05356614414 0,3835935636238709
2395,0852061650758 1447,7041641332562 0,3844332086226935
2455,583409508765 1472,2114111408582 0,385356531165067
2515,500357929368 1496,5506887526976 0,38636903800428024
2574,763050316867 1520,6973785545251 0,3874770899823297
2633,298485561245 1544,6268621320912 0,3886880230646919
2691,033662552485 1568,3145210711473 0,3900102953842266
2747,8955801805696 1591,735736957444 0,3914536662935557
2803,811237335481 1614,8658913767322 0,3930294151667411
2858,7076329072033 1637,6803659147631 0,3947506100029052
2912,511765785718 1660,1545421572873 0,39663243898523054
2965,1506348610087 1682,2638016900555 0,3986926223521734
3016,551239023058 1703,9835260988193 0,4009519276994419
3066,640577161848 1725,289096969329 0,40343481982220947
3115,345648167362 1746,1558958873354 0,4061702874291004
3162,5934509295835 1766,55930443859 0,4091929050319396
3208,310984338494 1786,4747042088434 0,4125442113798719
3252,425247284077 1805,8774767838465 0,41627451963740164
3294,863238656316 1824,7430037493502 0,42044532497975323
3335,551957345192 1843,0466666911052 0,4251325519936222
3374,418402240689 1860,763847194863 0,4304310032651662
3411,38957223279 1877,8699268463738 0,4364605592907029
3446,392466211477 1894,3402872313889 0,4433749867644867
3479,354083066733 1910,1503099356592 0,45137472529087513
3510,2014216885414 1925,2753765449354 0,4607259068038207
3538,861480966884 1939,6908686449685 0,4717894397946568
3565,2612597917437 1953,3721678215095 0,4850669183324424
3589,3277570531045 1966,2946556603092 0,5012757967553814
3611,0152143463856 1978,4418971794516 0,5206563771180105
3630,38684408876 1989,8301911263534 0,5432625006938496
3647,533101402837 2000,4840196807643 0,5699300796662079
3662,5444414112267 2010,4278650224337 0,6017947699260268
3675,5113192365393 2019,6862093311115 0,6404292576809609
3686,5241900013843 2028,2835347865478 0,6880544068637966
3695,6735088283717 2036,2443235684916 0,7478639513214221
3703,0497308401114 2043,593057856693 0,8245097727896333
3708,7433111592136 2050,3542198309015 0,9247542452699855
3712,8447049082874 2056,552291670867 1,058045951653646
3715,4443672099446 2062,211755556339 1,2358493819622374
3716,632753186793 2067,3570936670676 1,4664273824556464
3716,5003179614428 2072,012788182802 1,7417055400696644
3715,1375166565053 2076,203321283292 2,0273137504299545
3712,634804394589 2079,953175148288 2,2810861108318647
3709,082636298305 2083,2868319575387 2,4826698722349434
3704,5714674902615 2086,2287738907944 2,634740320003673
3699,19175309307 2088,803483127804 2,7483756164318427
3693,03394822934 2091,0354418483184 2,8342020043401623
3686,1885080216807 2092,9491322320864 2,9001745497737432
3678,7458875927027 2094,569036458858 2,9518199829821703
3670,7965420650157 2095,919636708383 2,992915060125434
3662,4309265612305 2097,0254151604113 3,0260544155324687
3653,7394962039552 2097,9108539946924 3,0530427265584494
3644,8127061158007 2098,6004353909757 3,075150523315366
3635,741011419377 2099,118641529011 3,09327835457593
3626,6148672372938 2099,489954588548 3,1080614399992563
3617,524728692161 2099,7388567493363 3,119935148502752
3608,561050906589 2099,8898301911263 3,1291732091574636
3599,814289003187 2099,967357093667 3,135904576755044
3591,374898104565 2099,995919636708 3,1401098843697826
3583,3333333333335 2100 3,141592653589793
3575,762430826823 2100 3,141592653589793
3568,6645507812505 2100 3,141592653589793
3562,0244344075522 2100 3,141592653589793
3555,826822916667 2100 3,141592653589793
3550,0564575195317 2100 3,141592653589793
3544,6980794270835 2100 3,141592653589793
3539,7364298502603 2100 3,141592653589793
3535,1562500000005 2100 3,141592653589793
3530,9422810872393 2100 3,141592653589793
3527,0792643229165 2100 3,141592653589793
3523,5519409179683 2100 3,141592653589793
3520,345052083333 2100 3,141592653589793
3517,4433390299478 2100 3,141592653589793
3514,83154296875 2100 3,141592653589793
3512,494405110677 2100 3,141592653589793
3510,4166666666665 2100 3,141592653589793
3508,5830688476562 2100 3,141592653589793
3506,978352864583 2100 3,141592653589793
3505,5872599283853 2100 3,141592653589793
3504,39453125 2100 3,141592653589793
3503,3849080403643 2100 3,141592653589793
3502,5431315104165 2100 3,141592653589793
3501,853942871094 2100 3,141592653589793
3501,3020833333335 2100 3,141592653589793
3500,8722941080728 2100 3,141592653589793
3500,5493164062505 2100 3,141592653589793
3500,3178914388022 2100 3,141592653589793
